,0,1,2,3,4
Medida,Varianza,Desviación Estándar,Rango,Coeficiente de Asimetría,Curtosis
Salario medio,4402867037.176469,66354.1033936596,"(np.float64(110.0), np.float64(2096744.0))",6.070477282081726,119.15334975367024
Salario máximo,6947263613.603562,83350.24663193003,"(np.float64(115.0), np.float64(2339090.0))",5.878229079305506,92.89985031365246
Salario mínimo,2960661098.6850767,54411.95731349017,"(np.float64(105.0), np.float64(1854398.0))",6.717391867253889,153.63703852900244
